group,seed,strategies,trust_budget_init,enable_r1,payoff_avg,eta_global,eta_final,total_heat,heat_efficiency,nash_lock_rate,up_attempt_rate,up_success_rate,r1_pct,eta_first_half,eta_second_half,exploitation_rate,unilateral_invite_count,joint_enter_count,heat_wasted_unilateral
G3_R1_tb2,4,nash_breaker-nash_breaker,2,True,1.9,0.45,0.3,177,393.3333333333333,0.6,0.1,0.5,0.15,0.6,0.3,0.1,1,1,3
G4_R1_tb4,0,nash_breaker-nash_breaker,4,True,2.85,0.6950000000000001,0.15,182,261.87050359712225,0.05,0.05,0.0,0,0.8,0.5900000000000001,0.1,1,0,3
G4_R1_tb4,1,nash_breaker-nash_breaker,4,True,1.775,0.39,0.3,176,451.28205128205127,0.6,0.15,0.3333333333333333,0.05,0.44,0.33999999999999997,0.15,2,1,6
G4_R1_tb4,2,nash_breaker-nash_breaker,4,True,1.75,0.49,0.3,180,367.34693877551024,0.7,0.1,1.0,0.2,0.68,0.3,0.0,0,2,0
G4_R1_tb4,3,nash_breaker-nash_breaker,4,True,2.575,0.51,0.2,215,421.5686274509804,0.3,0.25,0.4,0.3,0.6,0.42,0.25,3,2,9
G4_R1_tb4,4,nash_breaker-nash_breaker,4,True,2.05,0.42,0.3,191,454.76190476190476,0.5,0.2,0.25,0.15,0.6,0.24,0.2,3,1,9
G5_R1_tb6,0,nash_breaker-nash_breaker,6,True,2.85,0.6950000000000001,0.15,182,261.87050359712225,0.05,0.05,0.0,0,0.8,0.5900000000000001,0.1,1,0,3
G5_R1_tb6,1,nash_breaker-nash_breaker,6,True,1.85,0.375,0.3,183,488.0,0.55,0.2,0.25,0.05,0.44,0.31,0.2,3,1,9
G5_R1_tb6,2,nash_breaker-nash_breaker,6,True,2.125,0.545,0.3,199,365.13761467889907,0.55,0.15,1.0,0.3,0.68,0.41,0.05,0,3,0
G5_R1_tb6,3,nash_breaker-nash_breaker,6,True,2.575,0.51,0.2,215,421.5686274509804,0.3,0.25,0.4,0.3,0.6,0.42,0.25,3,2,9
G5_R1_tb6,4,nash_breaker-nash_breaker,6,True,2.35,0.49,0.86,209,426.53061224489795,0.4,0.25,0.4,0.25,0.6,0.38,0.2,3,2,9
G1_R0_only,0,nash_breaker-cautious,0,False,2.85,0.6950000000000001,0.15,176,253.23741007194243,0.05,0.0,0.0,0,0.8,0.5900000000000001,0.1,0,0,0
G1_R0_only,1,nash_breaker-cautious,0,False,1.4,0.4,0.3,148,370.0,0.8,0.0,0.0,0,0.5,0.3,0.0,0,0,0
G1_R0_only,2,nash_breaker-cautious,0,False,1.1,0.325,0.3,142,436.9230769230769,0.95,0.0,0.0,0,0.35,0.3,0.0,0,0,0
G1_R0_only,3,nash_breaker-cautious,0,False,1.35,0.32,0.3,146,456.25,0.8,0.0,0.0,0,0.34,0.3,0.1,0,0,0
G1_R0_only,4,nash_breaker-cautious,0,False,1.425,0.305,0.3,147,481.9672131147541,0.75,0.0,0.0,0,0.31,0.3,0.15,0,0,0
G2_R1_tb0,0,nash_breaker-cautious,0,True,2.85,0.6950000000000001,0.15,176,253.23741007194243,0.05,0.0,0.0,0,0.8,0.5900000000000001,0.1,0,0,0
G2_R1_tb0,1,nash_breaker-cautious,0,True,1.4,0.4,0.3,148,370.0,0.8,0.0,0.0,0,0.5,0.3,0.0,0,0,0
